Origin_Name,Destination_Name,TotalTransported
ACT,Auburn,10
ACT,Blacktown,20
ACT,Bringelly - Green Valley,20
ACT,Camden,10
ACT,Liverpool,20
ACT,Merrylands - Guildford,20
ACT,Mount Druitt,30
ACT,St Marys,20
ACT,VIC,14
ACT,Wyong,10
Albury,Albury,150
Albury,Armidale,0
Albury,Auburn,0
Albury,Blacktown,3
Albury,Bourke - Cobar - Coonamble,0
Albury,Bringelly - Green Valley,19
Albury,Camden,2
Albury,Dubbo,2
Albury,Fairfield,0
Albury,Gosford,13
Albury,Goulburn - Yass,12
Albury,Griffith - Murrumbidgee (West),1
Albury,Inverell - Tenterfield,1
Albury,Kempsey - Nambucca,1
Albury,Lachlan Valley,1
Albury,Lithgow - Mudgee,1
Albury,Liverpool,3
Albury,Lower Hunter,4
Albury,Lower Murray,3
Albury,Maitland,1
Albury,Merrylands - Guildford,1
Albury,Moree - Narrabri,0
Albury,Mount Druitt,7
Albury,Orange,0
Albury,Port Stephens,1
Albury,QLD,43
Albury,Queanbeyan,0
Albury,Richmond Valley - Hinterland,0
Albury,Shoalhaven,1
Albury,Snowy Mountains,0
Albury,South Coast,1
Albury,Southern Highlands,2
Albury,St Marys,285
Albury,Sydney Inner City,43
Albury,Tamworth - Gunnedah,4
Albury,Taree - Gloucester,0
Albury,Upper Hunter,1
Albury,Upper Murray exc. Albury,3
Albury,VIC,43
Albury,VIC,7
Albury,Wagga Wagga,93
Albury,Wagga Wagga,51
Albury,Wyong,1
Armidale,Albury,0
Armidale,Armidale,59
Armidale,Auburn,0
Armidale,Blacktown,0
Armidale,Bourke - Cobar - Coonamble,2
Armidale,Camden,0
Armidale,Clarence Valley,1
Armidale,Dubbo,6
Armidale,Goulburn - Yass,0
Armidale,Inverell - Tenterfield,31
Armidale,Kempsey - Nambucca,5
Armidale,Lachlan Valley,0
Armidale,Lithgow - Mudgee,1
Armidale,Liverpool,0
Armidale,Lower Murray,0
Armidale,Maitland,0
Armidale,Merrylands - Guildford,0
Armidale,Moree - Narrabri,2
Armidale,Mount Druitt,0
Armidale,Newcastle,517
Armidale,Orange,0
Armidale,Queanbeyan,0
Armidale,Richmond Valley - Hinterland,50
Armidale,Southern Highlands,0
Armidale,St Marys,0
Armidale,Tamworth - Gunnedah,33
Armidale,Taree - Gloucester,10
Armidale,Upper Hunter,11
Armidale,Upper Murray exc. Albury,0
Armidale,Wagga Wagga,0
Armidale,Wyong,0
Auburn,ACT,60
Auburn,Albury,0
Auburn,Auburn,1193
Auburn,Bankstown,260
Auburn,Bankstown,16
Auburn,Baulkham Hills,103
Auburn,Blacktown,105
Auburn,Blacktown - North,40
Auburn,Blue Mountains,3
