Location Name,Trip Name,ARRIVAL HOUR,Direction,Freight Schedule Name,LENGTH CATEGORY,Allocated or Unallocated,Timetable Version
Hornsby,004A (1),02:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,006N (2),02:00,Up,C1,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,007N (1),02:00,Down,C1,1200-1499,Unallocated,2017 SWTTF v6.00
Hornsby,009N (1),02:00,Down,C2,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,010N (2),03:00,Up,C2,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,012A (2),03:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,019A (1),05:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,020A (1),04:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,021A (2),06:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,022A (1),05:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,023A (1),07:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,025A (1),08:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,027A (1),09:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,032A (1),09:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,034N (2),11:00,Up,B1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,037N (2),11:00,Down,B1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,--04 (1),04:00,Down,2CL,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,042A (2),12:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,045A (1),12:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,049N (1),13:00,Down,B1,1200-1499,Unallocated,2017 SWTTF v6.00
Hornsby,052N (2),13:00,Up,C2,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,053N (2),14:00,Down,B1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,054A (1),14:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,055N (1),14:00,Down,C1,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,056A (2),15:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,057A (2),14:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,058A (1),17:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,060A (1),18:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,061N (1),15:00,Down,C1,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,062N (2),19:00,Up,C1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,063A (1),19:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,065A (1),19:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,067A (1),19:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,067N (1),20:00,Down,C1,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,--07 (2),02:00,Up,1CE,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,075N (1),21:00,Down,C1,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,--08 (3),04:00,Down,2CL,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,081A (2),21:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,084N (1),23:00,Up,A1,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,085N (1),22:00,Down,C2,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,087A (1),22:00,Down,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,088N (1),00:00,Up,C1,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,089N (2),23:00,Down,C1,1200-1499,Unallocated,2017 SWTTF v6.00
Hornsby,090N (2),23:00,Up,C1,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,092N (1),00:00,Up,C2,400-599,Unallocated,2017 SWTTF v6.00
Hornsby,096A (2),00:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,096N (2),01:00,Up,C2,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,097N (1),00:00,Down,C1,900-1199,Unallocated,2017 SWTTF v6.00
Hornsby,098A (1),01:00,Up,A1,>=1500,Unallocated,2017 SWTTF v6.00
Hornsby,099N (2),00:00,Down,C1,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,--11 (2),04:00,Down,1CE,600-899,Unallocated,2017 SWTTF v6.00
Hornsby,1423 (1),23:00,Down,C2,600-899,Allocated,2017 SWTTF v6.00
Hornsby,1431 (2),20:00,Down,C1,600-899,Allocated,2017 SWTTF v6.00
Hornsby,1435 (2),13:00,Down,B1,900-1199,Allocated,2017 SWTTF v6.00
Hornsby,1491 (1),01:00,Down,C1,600-899,Allocated,2017 SWTTF v6.00
