"Origin","Destination","Amount"
"Botany","Dapto - Port Kembla",1
"Dapto - Port Kembla","Sydney Inner City",1
"Sydney Inner City","Dapto - Port Kembla",1
"Dapto - Port Kembla","Sydney Inner City",1
"Dapto - Port Kembla","Newcastle",1
"Newcastle","Dapto - Port Kembla",1
"Newcastle","Sydney Inner City",1
"Botany","Lower Hunter",1
"Dapto - Port Kembla","Lower Hunter",1
"Dapto - Port Kembla","Newcastle",1
"Sydney Inner City","Dapto - Port Kembla",1
"Sydney Inner City","Newcastle",1
"Botany","Newcastle",1
"Sydney Inner City","Newcastle",1
"Sydney Inner City","Botany",1
"Lower Hunter","Lower Hunter",1
"Newcastle","Lower Hunter",1
"Newcastle","Newcastle",1
"Lower Hunter","Sydney Inner City",1
"Dapto - Port Kembla","Dapto - Port Kembla",1
"Sydney Inner City","Botany",1
"Newcastle","Botany",1
"Sydney Inner City","Sydney Inner City",2
"Newcastle","Botany",2
"Newcastle","Lower Hunter",2
"Newcastle","Botany",2
"Botany","Dapto - Port Kembla",2
"Sydney Inner City","Dapto - Port Kembla",2
"Newcastle","Botany",2
"Botany","Newcastle",2
"Newcastle","Dapto - Port Kembla",2
"Botany","Dapto - Port Kembla",2
"Botany","Dapto - Port Kembla",2
"Botany","Lower Hunter",2
"Lower Hunter","Dapto - Port Kembla",340
"Newcastle","Newcastle",12
"Lower Hunter","Newcastle",66757
"Newcastle","Botany",190
"Newcastle","Botany",400
"Sydney Inner City","Botany",41
"Sydney Inner City","Botany",64
"Sydney Inner City","Botany",49
"Lower Hunter","Botany",73
"Lower Hunter","Botany",119
"Lower Hunter","Botany",169
"Lower Hunter","Botany",224
"Lower Hunter","Botany",35
"Lower Hunter","Botany",12
"Lower Hunter","Botany",0
"Sydney Inner City","Sydney Inner City",20
"Sydney Inner City","Sydney Inner City",38
"Sydney Inner City","Sydney Inner City",13
"Sydney Inner City","Sydney Inner City",20
"Lower Hunter","Lower Hunter",1060
"Lower Hunter","Lower Hunter",9
"Lower Hunter","Lower Hunter",2
"Lower Hunter","Newcastle",145
"Lower Hunter","Newcastle",77
"Lower Hunter","Lower Hunter",11
"Sydney Inner City","Sydney Inner City",100
"Lower Hunter","Botany",100
"Sydney Inner City","Sydney Inner City",105
"Lower Hunter","Botany",150
"Newcastle","Lower Hunter",13
"Newcastle","Lower Hunter",791
"Newcastle","Lower Hunter",50
"Newcastle","Lower Hunter",20
"Newcastle","Lower Hunter",33
"Newcastle","Lower Hunter",23
"Newcastle","Lower Hunter",20
"Newcastle","Newcastle",31
"Newcastle","Newcastle",164
"Newcastle","Newcastle",80
"Newcastle","Newcastle",71
"Newcastle","Newcastle",43
"Newcastle","Newcastle",144
"Newcastle","Newcastle",14
"Newcastle","Newcastle",25
"Newcastle","Newcastle",33
"Newcastle","Dapto - Port Kembla",7
"Newcastle","Dapto - Port Kembla",12
"Newcastle","Botany",143
"Newcastle","Botany",3
"Newcastle","Botany",18
"Newcastle","Sydney Inner City",11
"Newcastle","Sydney Inner City",11
"Dapto - Port Kembla","Dapto - Port Kembla",29
"Dapto - Port Kembla","Dapto - Port Kembla",27
"Dapto - Port Kembla","Dapto - Port Kembla",16
"Dapto - Port Kembla","Dapto - Port Kembla",128
