Month,Aluminium,Coal,Concentrates,"Machinery, Project Cargo & Vehicles",Meals & Grains,Pitch & Tar Products,Steel,Wheat,Other Trade,Total
Jan-18,"3,739","12,453,336","46,154",744,794,"8,121","1,463","53,756","20,542","12,588,649"
Feb-18,0,"12,082,539","33,446","1,232",0,"8,239","6,766","48,381","21,716","12,202,319"
Mar-18,"4,399","12,513,699","47,143",0,0,"10,922","1,575","106,034","37,052","12,720,824"
Apr-18,"3,102","14,290,318","55,490","2,139","33,000","6,610","3,008","40,998","21,670","14,456,335"
May-18,"3,246","12,179,586","50,121","5,693",826,"16,464","6,878","50,784","22,223","12,335,821"
Jun-18,"2,785","14,394,023","52,541","1,486","33,426","2,826","5,596","19,192","17,903","14,529,778"
Jul-18,"1,669","15,477,760","39,122","1,598",0,"10,104","2,421","5,150","24,705","15,562,529"
Aug-18,0,"13,108,675","69,647","1,991","1,687","7,930","9,043","14,437","17,393","13,230,803"
Sep-18,"4,083","12,211,819",0,"2,428","1,455","7,040","16,671","39,440","21,064","12,304,000"
Oct-18,"6,244","14,171,345","87,041",717,"1,385","8,960","7,688",0,"20,977","14,304,357"
Nov-18,"3,503","10,849,131","22,224","1,988","3,076","6,632","3,121",946,"29,772","10,920,393"
Dec-18,"3,615","14,888,890","67,570","1,183","2,333","8,438",866,0,"22,265","14,995,160"
Jan-19,"2,697","13,720,333","32,442","1,068","2,341","5,202","4,302","14,799","21,952","13,805,136"
Feb-19,0,"11,966,936","30,273",0,"1,789","12,987","1,720",0,"15,023","12,028,728"
Mar-19,"6,700","13,439,275","42,066",285,"2,951",0,"13,980",0,"20,803","13,526,060"
Apr-19,0,"13,068,392","26,484","1,942",0,"15,587","4,775",0,"12,642","13,129,822"
May-19,0,"13,138,716","36,757",881,949,"6,751","2,278",0,"18,524","13,204,856"
Jun-19,0,"14,698,732","31,421",609,"2,013","5,877","3,617","10,300","24,692","14,777,261"
Jul-19,0,"15,733,845","49,651",516,"1,038","7,958","3,601",0,"12,009","15,808,618"
Aug-19,0,"14,115,075","31,606",145,726,"7,572","6,697",590,"8,451","14,170,862"
Sep-19,0,"12,443,992","22,637",174,471,0,"5,527",0,"24,238","12,497,039"
Oct-19,0,"14,811,006","51,371",661,0,14932,"2,448",0,"13,658","14,894,076"
Nov-19,0,"12,560,964","61,663",962,"1,387",0,"5,446",0,"12,199","12,642,621"
Dec-19,0,"15,441,555","35,744",342,949,16355,"3,913",15655,"19,519","15,534,032"
Jan-20,0,"13,877,491","44,982",0,0,0,"4,286",0,"14,138","13,940,897"
Feb-20,0,"11,582,361","19,955",1581,0,10528,"3,401",0,"14,806","11,632,632"
Mar-20,"5,886","14,515,433","20,465",0,0,5515,"3,908",0,"13,826","14,565,033"
