"Year","Mode","Origin_Name","Destination_Name","OrigToDest","TotalTransported","Movement"
2016,"Road","ACT","Auburn","ACT:Auburn",10.00,"Intercapital"
2016,"Road","ACT","Blacktown","ACT:Blacktown",20.00,"Intercapital"
2016,"Road","ACT","Bringelly - Green Valley","ACT:Bringelly - Green Valley",20.00,"Intercapital"
2016,"Road","ACT","Camden","ACT:Camden",10.00,"Intercapital"
2016,"Road","ACT","Liverpool","ACT:Liverpool",20.00,"Intercapital"
2016,"Road","ACT","Merrylands - Guildford","ACT:Merrylands - Guildford",20.00,"Intercapital"
2016,"Road","ACT","Mount Druitt","ACT:Mount Druitt",30.00,"Intercapital"
2016,"Road","ACT","St Marys","ACT:St Marys",20.00,"Intercapital"
2016,"Road","ACT","VIC","ACT:VIC",14.00,"Intercapital"
2016,"Road","ACT","Wyong","ACT:Wyong",10.00,"Intercapital"
2016,"Road","Albury","Albury","Albury:Albury",150.00,"Intrastate"
2016,"Road","Albury","Armidale","Albury:Armidale",0.00,"Intrastate"
2016,"Road","Albury","Auburn","Albury:Auburn",0.00,"Intrastate"
2016,"Road","Albury","Blacktown","Albury:Blacktown",3.00,"Intrastate"
2016,"Road","Albury","Bourke - Cobar - Coonamble","Albury:Bourke - Cobar - Coonamble",0.00,"Intrastate"
2016,"Road","Albury","Bringelly - Green Valley","Albury:Bringelly - Green Valley",19.00,"Intrastate"
2016,"Road","Albury","Camden","Albury:Camden",2.00,"Intrastate"
2016,"Road","Albury","Dubbo","Albury:Dubbo",2.00,"Intrastate"
2016,"Road","Albury","Fairfield","Albury:Fairfield",0.00,"Intrastate"
2016,"Road","Albury","Gosford","Albury:Gosford",13.00,"Intrastate"
2016,"Road","Albury","Goulburn - Yass","Albury:Goulburn - Yass",12.00,"Intrastate"
2016,"Road","Albury","Griffith - Murrumbidgee (West)","Albury:Griffith - Murrumbidgee (West)",1.00,"Intrastate"
2016,"Road","Albury","Inverell - Tenterfield","Albury:Inverell - Tenterfield",1.00,"Intrastate"
2016,"Road","Albury","Kempsey - Nambucca","Albury:Kempsey - Nambucca",1.00,"Intrastate"
2016,"Road","Albury","Lachlan Valley","Albury:Lachlan Valley",1.00,"Intrastate"
2016,"Road","Albury","Lithgow - Mudgee","Albury:Lithgow - Mudgee",1.00,"Intrastate"
2016,"Road","Albury","Liverpool","Albury:Liverpool",3.00,"Intrastate"
2016,"Road","Albury","Lower Hunter","Albury:Lower Hunter",4.00,"Intrastate"
2016,"Road","Albury","Lower Murray","Albury:Lower Murray",3.00,"Intrastate"
2016,"Road","Albury","Maitland","Albury:Maitland",1.00,"Intrastate"
2016,"Road","Albury","Merrylands - Guildford","Albury:Merrylands - Guildford",1.00,"Intrastate"
2016,"Road","Albury","Moree - Narrabri","Albury:Moree - Narrabri",0.00,"Intrastate"
2016,"Road","Albury","Mount Druitt","Albury:Mount Druitt",7.00,"Intrastate"
2016,"Road","Albury","Orange","Albury:Orange",0.00,"Intrastate"
2016,"Road","Albury","Port Stephens","Albury:Port Stephens",1.00,"Intrastate"
2016,"Rail","Albury","QLD","Albury:QLD",43.00,"Port"
2016,"Road","Albury","Queanbeyan","Albury:Queanbeyan",0.00,"Intrastate"
2016,"Road","Albury","Richmond Valley - Hinterland","Albury:Richmond Valley - Hinterland",0.00,"Intrastate"
2016,"Road","Albury","Shoalhaven","Albury:Shoalhaven",1.00,"Intrastate"
2016,"Road","Albury","Snowy Mountains","Albury:Snowy Mountains",0.00,"Intrastate"
2016,"Road","Albury","South Coast","Albury:South Coast",1.00,"Intrastate"
2016,"Road","Albury","Southern Highlands","Albury:Southern Highlands",2.00,"Intrastate"
2016,"Road","Albury","St Marys","Albury:St Marys",285.00,"Intrastate"
2016,"Road","Albury","Sydney Inner City","Albury:Sydney Inner City",43.00,"Intrastate"
2016,"Road","Albury","Tamworth - Gunnedah","Albury:Tamworth - Gunnedah",4.00,"Intrastate"
2016,"Road","Albury","Taree - Gloucester","Albury:Taree - Gloucester",0.00,"Intrastate"
2016,"Road","Albury","Upper Hunter","Albury:Upper Hunter",1.00,"Intrastate"
2016,"Road","Albury","Upper Murray exc. Albury","Albury:Upper Murray exc. Albury",3.00,"Intrastate"
2016,"Road","Albury","VIC","Albury:VIC",43.00,"Interstate"
2016,"Road","Albury","VIC","Albury:VIC",7.00,"Port"
2016,"Rail","Albury","Wagga Wagga","Albury:Wagga Wagga",93.00,"Intrastate"
2016,"Road","Albury","Wagga Wagga","Albury:Wagga Wagga",51.00,"Intrastate"
2016,"Road","Albury","Wyong","Albury:Wyong",1.00,"Intrastate"
2016,"Road","Armidale","Albury","Armidale:Albury",0.00,"Intrastate"
2016,"Road","Armidale","Armidale","Armidale:Armidale",59.00,"Intrastate"
2016,"Road","Armidale","Auburn","Armidale:Auburn",0.00,"Intrastate"
2016,"Road","Armidale","Blacktown","Armidale:Blacktown",0.00,"Intrastate"
2016,"Road","Armidale","Bourke - Cobar - Coonamble","Armidale:Bourke - Cobar - Coonamble",2.00,"Intrastate"
2016,"Road","Armidale","Camden","Armidale:Camden",0.00,"Intrastate"
2016,"Road","Armidale","Clarence Valley","Armidale:Clarence Valley",1.00,"Intrastate"
2016,"Road","Armidale","Dubbo","Armidale:Dubbo",6.00,"Intrastate"
2016,"Road","Armidale","Goulburn - Yass","Armidale:Goulburn - Yass",0.00,"Intrastate"
2016,"Road","Armidale","Inverell - Tenterfield","Armidale:Inverell - Tenterfield",31.00,"Intrastate"
2016,"Road","Armidale","Kempsey - Nambucca","Armidale:Kempsey - Nambucca",5.00,"Intrastate"
2016,"Road","Armidale","Lachlan Valley","Armidale:Lachlan Valley",0.00,"Intrastate"
2016,"Road","Armidale","Lithgow - Mudgee","Armidale:Lithgow - Mudgee",1.00,"Intrastate"
2016,"Road","Armidale","Liverpool","Armidale:Liverpool",0.00,"Intrastate"
2016,"Road","Armidale","Lower Murray","Armidale:Lower Murray",0.00,"Intrastate"
2016,"Road","Armidale","Maitland","Armidale:Maitland",0.00,"Intrastate"
2016,"Road","Armidale","Merrylands - Guildford","Armidale:Merrylands - Guildford",0.00,"Intrastate"
2016,"Road","Armidale","Moree - Narrabri","Armidale:Moree - Narrabri",2.00,"Intrastate"
2016,"Road","Armidale","Mount Druitt","Armidale:Mount Druitt",0.00,"Intrastate"
2016,"Road","Armidale","Newcastle","Armidale:Newcastle",517.00,"Intrastate"
2016,"Road","Armidale","Orange","Armidale:Orange",0.00,"Intrastate"
2016,"Road","Armidale","Queanbeyan","Armidale:Queanbeyan",0.00,"Intrastate"
2016,"Road","Armidale","Richmond Valley - Hinterland","Armidale:Richmond Valley - Hinterland",50.00,"Intrastate"
2016,"Road","Armidale","Southern Highlands","Armidale:Southern Highlands",0.00,"Intrastate"
2016,"Road","Armidale","St Marys","Armidale:St Marys",0.00,"Intrastate"
2016,"Road","Armidale","Tamworth - Gunnedah","Armidale:Tamworth - Gunnedah",33.00,"Intrastate"
2016,"Road","Armidale","Taree - Gloucester","Armidale:Taree - Gloucester",10.00,"Intrastate"
2016,"Road","Armidale","Upper Hunter","Armidale:Upper Hunter",11.00,"Intrastate"
2016,"Road","Armidale","Upper Murray exc. Albury","Armidale:Upper Murray exc. Albury",0.00,"Intrastate"
2016,"Road","Armidale","Wagga Wagga","Armidale:Wagga Wagga",0.00,"Intrastate"
2016,"Road","Armidale","Wyong","Armidale:Wyong",0.00,"Intrastate"
2016,"Road","Auburn","ACT","Auburn:ACT",60.00,"Intercapital"
2016,"Road","Auburn","Albury","Auburn:Albury",0.00,"Intrastate"
2016,"Road","Auburn","Auburn","Auburn:Auburn",1193.00,"Intrastate"
2016,"Road","Auburn","Bankstown","Auburn:Bankstown",260.00,"Intrastate"
2016,"Road","Auburn","Bankstown","Auburn:Bankstown",16.00,"Intrastate(IMT)"
2016,"Road","Auburn","Baulkham Hills","Auburn:Baulkham Hills",103.00,"Intrastate"
2016,"Road","Auburn","Blacktown","Auburn:Blacktown",105.00,"Intrastate"
2016,"Road","Auburn","Blacktown - North","Auburn:Blacktown - North",40.00,"Intrastate"
2016,"Road","Auburn","Blue Mountains","Auburn:Blue Mountains",3.00,"Intrastate"
2016,"Road","Auburn","Botany","Auburn:Botany",123.00,"Intrastate"
2016,"Road","Auburn","Botany","Auburn:Botany",130.00,"PortBotany"
2016,"Road","Auburn","Bringelly - Green Valley","Auburn:Bringelly - Green Valley",34.00,"Intrastate"
2016,"Road","Auburn","Camden","Auburn:Camden",5.00,"Intrastate"
2016,"Road","Auburn","Campbelltown (NSW)","Auburn:Campbelltown (NSW)",23.00,"Intrastate"
2016,"Road","Auburn","Canada Bay","Auburn:Canada Bay",76.00,"Intrastate"
2016,"Road","Auburn","Canterbury","Auburn:Canterbury",74.00,"Intrastate"
2016,"Road","Auburn","Carlingford","Auburn:Carlingford",129.00,"Intrastate"
2016,"Road","Auburn","Chatswood - Lane Cove","Auburn:Chatswood - Lane Cove",82.00,"Intrastate"
2016,"Road","Auburn","Cronulla - Miranda - Caringbah","Auburn:Cronulla - Miranda - Caringbah",14.00,"Intrastate"
2016,"Road","Auburn","Dapto - Port Kembla","Auburn:Dapto - Port Kembla",56.00,"Intrastate"
2016,"Road","Auburn","Dural - Wisemans Ferry","Auburn:Dural - Wisemans Ferry",4.00,"Intrastate"
2016,"Road","Auburn","Eastern Suburbs - North","Auburn:Eastern Suburbs - North",24.00,"Intrastate"
2016,"Road","Auburn","Eastern Suburbs - South","Auburn:Eastern Suburbs - South",11.00,"Intrastate"
2016,"Road","Auburn","Fairfield","Auburn:Fairfield",139.00,"Intrastate"
2016,"Road","Auburn","Gosford","Auburn:Gosford",9.00,"Intrastate"
2016,"Rail","Auburn","Goulburn - Yass","Auburn:Goulburn - Yass",521.00,"Intrastate"
2016,"Road","Auburn","Goulburn - Yass","Auburn:Goulburn - Yass",0.00,"Intrastate"
2016,"Road","Auburn","Hawkesbury","Auburn:Hawkesbury",0.00,"Intrastate"
2016,"Road","Auburn","Hornsby","Auburn:Hornsby",32.00,"Intrastate"
2016,"Road","Auburn","Hurstville","Auburn:Hurstville",51.00,"Intrastate"
2016,"Road","Auburn","Kiama - Shellharbour","Auburn:Kiama - Shellharbour",2.00,"Intrastate"
2016,"Road","Auburn","Kogarah - Rockdale","Auburn:Kogarah - Rockdale",53.00,"Intrastate"
2016,"Road","Auburn","Ku-ring-gai","Auburn:Ku-ring-gai",43.00,"Intrastate"
2016,"Road","Auburn","Leichhardt","Auburn:Leichhardt",25.00,"Intrastate"
2016,"Road","Auburn","Liverpool","Auburn:Liverpool",121.00,"Intrastate"
2016,"Road","Auburn","Lower Hunter","Auburn:Lower Hunter",2.00,"Intrastate"
2016,"Road","Auburn","Maitland","Auburn:Maitland",1.00,"Intrastate"
2016,"Road","Auburn","Manly","Auburn:Manly",2.00,"Intrastate"
2016,"Road","Auburn","Marrickville - Sydenham - Petersham","Auburn:Marrickville - Sydenham - Petersham",31.00,"Intrastate"
2016,"Road","Auburn","Merrylands - Guildford","Auburn:Merrylands - Guildford",327.00,"Intrastate"
2016,"Road","Auburn","Mount Druitt","Auburn:Mount Druitt",226.00,"Intrastate"
2016,"Road","Auburn","Newcastle","Auburn:Newcastle",18.00,"Intrastate"
2016,"Road","Auburn","North Sydney - Mosman","Auburn:North Sydney - Mosman",18.00,"Intrastate"
2016,"Road","Auburn","Parramatta","Auburn:Parramatta",53.00,"Intrastate"
2016,"Road","Auburn","Pennant Hills - Epping","Auburn:Pennant Hills - Epping",17.00,"Intrastate"
2016,"Road","Auburn","Penrith","Auburn:Penrith",109.00,"Intrastate"
2016,"Road","Auburn","Pittwater","Auburn:Pittwater",6.00,"Intrastate"
