"Origin_Name","Destination_Name","TotalTransported"
"Albury","Albury",150.00
"Albury","Blacktown",3.00
"Albury","Bringelly - Green Valley",19.00
"Albury","Camden",2.00
"Albury","Dubbo",2.00
"Albury","Gosford",13.00
"Albury","Goulburn - Yass",12.00
"Albury","Griffith - Murrumbidgee (West)",1.00
"Albury","Inverell - Tenterfield",1.00
"Albury","Kempsey - Nambucca",1.00
"Albury","Lachlan Valley",1.00
"Albury","Lithgow - Mudgee",1.00
"Albury","Liverpool",3.00
"Albury","Lower Hunter",4.00
"Albury","Lower Murray",3.00
"Albury","Maitland",1.00
"Albury","Merrylands - Guildford",1.00
"Albury","Mount Druitt",7.00
"Albury","Port Stephens",1.00
"Albury","Shoalhaven",1.00
"Albury","South Coast",1.00
"Albury","Southern Highlands",2.00
"Albury","St Marys",285.00
"Albury","Sydney Inner City",43.00
"Albury","Tamworth - Gunnedah",4.00
"Albury","Upper Hunter",1.00
"Albury","Upper Murray exc. Albury",3.00
"Albury","Wagga Wagga",93.00
"Albury","Wagga Wagga",51.00
"Albury","Wyong",1.00
"Armidale","Armidale",59.00
"Armidale","Bourke - Cobar - Coonamble",2.00
"Armidale","Clarence Valley",1.00
"Armidale","Dubbo",6.00
"Armidale","Inverell - Tenterfield",31.00
"Armidale","Kempsey - Nambucca",5.00
"Armidale","Lithgow - Mudgee",1.00
"Armidale","Moree - Narrabri",2.00
"Armidale","Newcastle",517.00
"Armidale","Richmond Valley - Hinterland",50.00
"Armidale","Tamworth - Gunnedah",33.00
"Armidale","Taree - Gloucester",10.00
"Armidale","Upper Hunter",11.00
"Auburn","Auburn",1193.00
"Auburn","Bankstown",260.00
"Auburn","Bankstown",16.00
"Auburn","Baulkham Hills",103.00
"Auburn","Blacktown",105.00
"Auburn","Blacktown - North",40.00
"Auburn","Blue Mountains",3.00
"Auburn","Botany",123.00
"Auburn","Botany",130.00
"Auburn","Bringelly - Green Valley",34.00
"Auburn","Camden",5.00
"Auburn","Campbelltown (NSW)",23.00
"Auburn","Canada Bay",76.00
"Auburn","Canterbury",74.00
"Auburn","Carlingford",129.00
"Auburn","Chatswood - Lane Cove",82.00
